pelvis     parent: RootNode
spine1     parent: pelvis
spine2     parent: spine1
head     parent: spine2
R_ear1     parent: head
R_ear2     parent: R_ear1
L_ear1     parent: head
L_ear2     parent: L_ear1
R_Clav     parent: spine2
R_bicep     parent: R_Clav
R_forearm     parent: R_bicep
L_Clav     parent: spine2
L_bicep     parent: L_Clav
L_forearm     parent: L_bicep
tail     parent: spine1
L_Thigh     parent: pelvis
L_Calf     parent: L_Thigh
L_Foot     parent: L_Calf
R_Thigh     parent: pelvis
R_Calf     parent: R_Thigh
R_Foot     parent: R_Calf
